Year,,End-year power capacity (MW),Fuel & thermal power plants (MW),Hydropower plants (MW),Wind power plants (MW),Solar power plants (MW),Municipal solid waste power plant (MW),Biogas power plants (MW)
2024,,7115.1,5698.5,1062.3,64,257.6,32,0.7
2023,,7907.4,6323.1,1209.4,64,266.2,44,0.7
2022,,7976.9,6652.3,1164.7,64,51.2,44,0.7
2021,,7965.2,6649.4,1157.2,66,47.9,44,0.7
2020,,7621.6,6326.1,1149.4,66,35.1,44,1
2019,,7639.2,6350.3,1144.8,66,33.1,44,1
2018,,7828.9,6552.2,1130.8,66,34.9,44,1
2017,,7941.5,6748,1106.4,15.7,28.4,42,1
2016,,7910.4,6726.8,1105,15.7,24.9,37,1
2015,,7806.7,6652.8,1103.4,7.7,4.8,37,1
2014,,7353.4,6233.4,1077.9,2.7,2.4,37,-
2013,,7353.3,6230.1,1082.5,2.7,1,37,-
2012,,6420,5397,1023,-,-,-,-
2011,,6350,5352,998,-,-,-,-
2010,,6397.7,5401,995,1.7,-,-,-
2009,,6389.7,5401,987,1.7,-,-,-
2008,,5798,4773,1025,-,-,-,-
2007,,5728,4703,1025,-,-,-,-
2006,,5624,4599,1025,-,-,-,-
2005,,5157.1,4187,970.1,0,0,0,0
2004,,5665.1,4695,970.1,0,0,0,0
2003,,5673.1,4703,970.1,0,0,0,0
2002,,5283,4349,934,0,0,0,0
2001,,5161,4228,933,0,0,0,0
2000,,4911.9,3990,921.9,0,0,0,0
1999,,4911.7,4184,727.7,0,0,0,0
1998,,4911.7,4184,727.7,0,0,0,0
1997,,4911.7,4184,727.7,0,0,0,0
1996,,5043.5,4315.8,727.7,0,0,0,0
1995,,5043.7,4256,787.7,0,0,0,0
